batch,kernel_time,flops,utils
404,592.21,160.23,0.51356
408,592.33,161.79,0.51856
412,592.04,163.45,0.52388
416,592.65,164.87,0.52843
420,597.35,165.15,0.52933
424,597.6,166.65,0.53413
428,597.34,168.29,0.53939
432,596.7,170.05,0.54503
436,605.28,169.19,0.54228
440,605.89,170.57,0.5467
444,607.39,171.7,0.55032
448,615.05,171.09,0.54837
452,697.32,152.25,0.48798
456,697.72,153.51,0.49202
460,696.79,155.06,0.49699
464,698.47,156.03,0.5001
468,700.7,156.88,0.50282
472,700.58,158.25,0.50721
476,701.43,159.39,0.51087
480,702.53,160.48,0.51436
484,707.1,160.77,0.51529
488,705.09,162.56,0.52103
492,706.42,163.59,0.52433
496,706.54,164.89,0.52849
500,713.5,164.6,0.52756
504,715.12,165.54,0.53058
508,716.3,166.58,0.53391
512,648.49,185.44,0.59436
516,730.28,165.96,0.53192
520,731.86,166.89,0.5349
524,731.96,168.15,0.53894
528,732.27,169.36,0.54282
532,735.7,169.85,0.54439
536,733.86,171.55,0.54984
540,735.51,172.45,0.55272
544,736.46,173.5,0.55609
548,738.57,174.28,0.55859
552,740.76,175.03,0.56099
556,741.56,176.11,0.56446
560,740.69,177.58,0.56917
564,746.86,177.37,0.56849
568,747.93,178.38,0.57173
572,747.41,179.76,0.57615
576,726.89,186.12,0.59654
580,810.16,168.15,0.53894
584,810.23,169.3,0.54263
588,810.62,170.38,0.54609
592,810.3,171.6,0.55
596,814.35,171.9,0.55096
600,815.65,172.78,0.55378
604,815.0,174.07,0.55792
608,814.31,175.37,0.56208
612,818.56,175.61,0.56285
616,819.3,176.6,0.56603
620,819.74,177.65,0.56939
624,818.85,178.99,0.57369
628,827.12,178.34,0.5716
632,827.64,179.36,0.57487
636,826.99,180.64,0.57897
640,860.72,174.65,0.55978
644,941.05,160.74,0.51519
648,939.95,161.93,0.51901
652,944.6,162.12,0.51962
656,947.54,162.61,0.52119
660,948.82,163.38,0.52365
664,949.29,164.29,0.52657
668,950.58,165.06,0.52904
672,952.5,165.71,0.53112
676,953.86,166.46,0.53353
680,955.0,167.25,0.53606
684,956.07,168.04,0.53859
688,953.91,169.41,0.54298
692,962.17,168.93,0.54144
696,964.07,169.57,0.54349
